zil-additional-service  | 
zil-additional-service  |   .   ____          _            __ _ _
zil-additional-service  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
zil-additional-service  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
zil-additional-service  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
zil-additional-service  |   '  |____| .__|_| |_|_| |_\__, | / / / /
zil-additional-service  |  =========|_|==============|___/=/_/_/_/
zil-additional-service  | 
zil-additional-service  |  :: Spring Boot ::                (v4.0.6)
zil-additional-service  | 
zil-additional-service  | 2026-05-06T17:18:36.536Z  INFO 1 --- [zil-additional-service] [           main] r.a.ZilAdditionalServiceApplication      : Starting ZilAdditionalServiceApplication v0.0.1-SNAPSHOT using Java 25.0.3 with PID 1 (/app/app.jar started by root in /app)
zil-additional-service  | 2026-05-06T17:18:36.616Z  INFO 1 --- [zil-additional-service] [           main] r.a.ZilAdditionalServiceApplication      : No active profile set, falling back to 1 default profile: "default"
zil-additional-service  | 2026-05-06T17:18:44.531Z  INFO 1 --- [zil-additional-service] [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat initialized with port 8084 (http)
zil-additional-service  | 2026-05-06T17:18:44.629Z  INFO 1 --- [zil-additional-service] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
zil-additional-service  | 2026-05-06T17:18:44.630Z  INFO 1 --- [zil-additional-service] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/11.0.21]
zil-additional-service  | 2026-05-06T17:18:45.220Z  INFO 1 --- [zil-additional-service] [           main] b.w.c.s.WebApplicationContextInitializer : Root WebApplicationContext: initialization completed in 8269 ms
zil-additional-service  | 2026-05-06T17:18:51.333Z  INFO 1 --- [zil-additional-service] [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint beneath base path '/actuator'
zil-additional-service  | 2026-05-06T17:18:51.923Z  INFO 1 --- [zil-additional-service] [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat started on port 8084 (http) with context path '/'
zil-additional-service  | 2026-05-06T17:18:52.017Z  INFO 1 --- [zil-additional-service] [           main] r.a.ZilAdditionalServiceApplication      : Started ZilAdditionalServiceApplication in 18.584 seconds (process running for 21.696)
zil-additional-service  | 2026-05-06T17:18:52.027Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=0
zil-additional-service  | 2026-05-06T17:18:52.028Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.CarCacheService     : [car-cache-statistics] Car cache size=0
zil-additional-service  | 2026-05-06T17:19:01.934Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=0
zil-additional-service  | 2026-05-06T17:19:01.962Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.CarCacheService     : [car-cache-statistics] Car cache size=0
zil-additional-service  | 2026-05-06T17:19:11.934Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=0
zil-additional-service  | 2026-05-06T17:19:11.962Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.CarCacheService     : [car-cache-statistics] Car cache size=0
zil-additional-service  | 2026-05-06T17:19:16.832Z  INFO 1 --- [zil-additional-service] [nio-8084-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
zil-additional-service  | 2026-05-06T17:19:16.832Z  INFO 1 --- [zil-additional-service] [nio-8084-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
zil-additional-service  | 2026-05-06T17:19:16.834Z  INFO 1 --- [zil-additional-service] [nio-8084-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
zil-additional-service  | 2026-05-06T17:19:22.017Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=0
zil-additional-service  | 2026-05-06T17:19:22.018Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.CarCacheService     : [car-cache-statistics] Car cache size=0
zil-additional-service  | 2026-05-06T17:19:27.120Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=1 sumNanos=40015 avgNanos=40015
zil-additional-service  | 2026-05-06T17:19:27.120Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=1 sumNanos=6309977710 avgNanos=6309977710
zil-additional-service  | 2026-05-06T17:19:27.120Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.clients count=1 sumNanos=5293896107 avgNanos=5293896107
zil-additional-service  | 2026-05-06T17:19:27.120Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.rents count=1 sumNanos=605779477 avgNanos=605779477
zil-additional-service  | 2026-05-06T17:19:27.121Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.cars count=1 sumNanos=396583363 avgNanos=396583363
zil-additional-service  | 2026-05-06T17:19:27.121Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.stats count=1 sumNanos=40015 avgNanos=40015
zil-additional-service  | 2026-05-06T17:19:27.121Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.stats count=1 sumNanos=6309977710 avgNanos=6309977710
zil-additional-service  | 2026-05-06T17:19:27.121Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.clients count=1 sumNanos=5293896107 avgNanos=5293896107
zil-additional-service  | 2026-05-06T17:19:27.121Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.rents count=1 sumNanos=605779477 avgNanos=605779477
zil-additional-service  | 2026-05-06T17:19:27.121Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=1 sumNanos=396583363 avgNanos=396583363
zil-additional-service  | 2026-05-06T17:19:27.121Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=1 sumNanos=40015 avgNanos=40015
zil-additional-service  | 2026-05-06T17:19:27.121Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=1 sumNanos=6309977710 avgNanos=6309977710
zil-additional-service  | 2026-05-06T17:19:27.122Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=1 sumNanos=5293896107 avgNanos=5293896107
zil-additional-service  | 2026-05-06T17:19:27.122Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=1 sumNanos=605779477 avgNanos=605779477
zil-additional-service  | 2026-05-06T17:19:27.122Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=1 sumNanos=396583363 avgNanos=396583363
zil-additional-service  | 2026-05-06T17:19:31.934Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.ClientCacheService  : [client-cache-statistics] Client cache size=48848
zil-additional-service  | 2026-05-06T17:19:31.962Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.additional.service.CarCacheService     : [car-cache-statistics] Car cache size=1000
zil-additional-service  | 2026-05-06T17:19:32.123Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=1 sumNanos=40015 avgNanos=40015
zil-additional-service  | 2026-05-06T17:19:32.123Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=1 sumNanos=6309977710 avgNanos=6309977710
zil-additional-service  | 2026-05-06T17:19:32.123Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.clients count=1 sumNanos=5293896107 avgNanos=5293896107
zil-additional-service  | 2026-05-06T17:19:32.123Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.rents count=1 sumNanos=605779477 avgNanos=605779477
zil-additional-service  | 2026-05-06T17:19:32.123Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.cars count=1 sumNanos=396583363 avgNanos=396583363
