zil-additional-service  | 
zil-additional-service  |   .   ____          _            __ _ _
zil-additional-service  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
zil-additional-service  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
zil-additional-service  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
zil-additional-service  |   '  |____| .__|_| |_|_| |_\__, | / / / /
zil-additional-service  |  =========|_|==============|___/=/_/_/_/
zil-additional-service  | 
zil-additional-service  |  :: Spring Boot ::                (v4.0.6)
zil-additional-service  | 
zil-additional-service  | 2026-05-04T11:51:05.973Z  INFO 1 --- [zil-additional-service] [           main] r.a.ZilAdditionalServiceApplication      : Starting ZilAdditionalServiceApplication v0.0.1-SNAPSHOT using Java 25.0.3 with PID 1 (/app/app.jar started by root in /app)
zil-additional-service  | 2026-05-04T11:51:05.992Z  INFO 1 --- [zil-additional-service] [           main] r.a.ZilAdditionalServiceApplication      : No active profile set, falling back to 1 default profile: "default"
zil-additional-service  | 2026-05-04T11:51:09.954Z  INFO 1 --- [zil-additional-service] [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat initialized with port 8084 (http)
zil-additional-service  | 2026-05-04T11:51:09.993Z  INFO 1 --- [zil-additional-service] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
zil-additional-service  | 2026-05-04T11:51:09.997Z  INFO 1 --- [zil-additional-service] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/11.0.21]
zil-additional-service  | 2026-05-04T11:51:10.228Z  INFO 1 --- [zil-additional-service] [           main] b.w.c.s.WebApplicationContextInitializer : Root WebApplicationContext: initialization completed in 4036 ms
zil-additional-service  | 2026-05-04T11:51:13.217Z  INFO 1 --- [zil-additional-service] [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint beneath base path '/actuator'
zil-additional-service  | 2026-05-04T11:51:13.517Z  INFO 1 --- [zil-additional-service] [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat started on port 8084 (http) with context path '/'
zil-additional-service  | 2026-05-04T11:51:13.553Z  INFO 1 --- [zil-additional-service] [           main] r.a.ZilAdditionalServiceApplication      : Started ZilAdditionalServiceApplication in 8.938 seconds (process running for 10.445)
zil-additional-service  | 2026-05-04T12:18:08.841Z  INFO 1 --- [zil-additional-service] [io-8084-exec-17] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
zil-additional-service  | 2026-05-04T12:18:08.842Z  INFO 1 --- [zil-additional-service] [io-8084-exec-17] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
zil-additional-service  | 2026-05-04T12:18:08.844Z  INFO 1 --- [zil-additional-service] [io-8084-exec-17] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
zil-additional-service  | 2026-05-04T12:18:13.798Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.cars count=11 sumNanos=50457262350 avgNanos=4587023850
zil-additional-service  | 2026-05-04T12:18:13.799Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=11 sumNanos=50457262350 avgNanos=4587023850
zil-additional-service  | 2026-05-04T12:18:13.799Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=11 sumNanos=50457262350 avgNanos=4587023850
zil-app                 | 
zil-app                 |   .   ____          _            __ _ _
zil-app                 |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
zil-app                 | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
zil-app                 |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
zil-app                 |   '  |____| .__|_| |_|_| |_\__, | / / / /
zil-app                 |  =========|_|==============|___/=/_/_/_/
zil-app                 | 
zil-app                 |  :: Spring Boot ::                (v4.0.3)
zil-app                 | 
zil-app                 | 2026-05-04T14:05:12.134Z  INFO 1 --- [           main] rental.Application                       : Starting Application v1.0-SNAPSHOT using Java 25.0.3 with PID 1 (/app/app.jar started by root in /app)
zil-app                 | 2026-05-04T14:05:12.218Z  INFO 1 --- [           main] rental.Application                       : No active profile set, falling back to 1 default profile: "default"
zil-app                 | 2026-05-04T14:05:18.033Z  INFO 1 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
zil-app                 | 2026-05-04T14:05:18.421Z  INFO 1 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 287 ms. Found 3 JPA repository interfaces.
zil-app                 | 2026-05-04T14:05:22.523Z  INFO 1 --- [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat initialized with port 8083 (http)
zil-app                 | 2026-05-04T14:05:22.619Z  INFO 1 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
zil-app                 | 2026-05-04T14:05:22.620Z  INFO 1 --- [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/11.0.18]
zil-app                 | 2026-05-04T14:05:23.125Z  INFO 1 --- [           main] b.w.c.s.WebApplicationContextInitializer : Root WebApplicationContext: initialization completed in 10500 ms
zil-app                 | 2026-05-04T14:05:26.921Z  INFO 1 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
zil-app                 | 2026-05-04T14:05:27.943Z  INFO 1 --- [           main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@45f1413c
zil-app                 | 2026-05-04T14:05:27.946Z  INFO 1 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
zil-app                 | 2026-05-04T14:05:28.119Z  INFO 1 --- [           main] org.flywaydb.core.FlywayExecutor         : Database: jdbc:postgresql://hl12.zil:5433/hl7?currentSchema=hl7 (PostgreSQL 16.13)
zil-app                 | 2026-05-04T14:05:28.531Z  INFO 1 --- [           main] o.f.core.internal.command.DbValidate     : Successfully validated 3 migrations (execution time 00:00.286s)
zil-app                 | 2026-05-04T14:05:28.735Z  INFO 1 --- [           main] o.f.core.internal.command.DbMigrate      : Current version of schema "hl7": 2
zil-app                 | 2026-05-04T14:05:28.822Z  INFO 1 --- [           main] o.f.core.internal.command.DbMigrate      : Schema "hl7" is up to date. No migration necessary.
zil-app                 | 2026-05-04T14:05:29.624Z  INFO 1 --- [           main] org.hibernate.orm.jpa                    : HHH008540: Processing PersistenceUnitInfo [name: default]
zil-app                 | 2026-05-04T14:05:30.035Z  INFO 1 --- [           main] org.hibernate.orm.core                   : HHH000001: Hibernate ORM core version 7.2.4.Final
zil-app                 | 2026-05-04T14:05:33.527Z  INFO 1 --- [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
zil-app                 | 2026-05-04T14:05:34.118Z  INFO 1 --- [           main] org.hibernate.orm.connections.pooling    : HHH10001005: Database info:
zil-app                 | 	Database JDBC URL [jdbc:postgresql://hl12.zil:5433/hl7?currentSchema=hl7]
zil-app                 | 	Database driver: PostgreSQL JDBC Driver
zil-app                 | 	Database dialect: PostgreSQLDialect
zil-app                 | 	Database version: 16.13
zil-app                 | 	Default catalog/schema: hl7/hl7
zil-app                 | 	Autocommit mode: undefined/unknown
zil-app                 | 	Isolation level: READ_COMMITTED [default READ_COMMITTED]
zil-app                 | 	JDBC fetch size: none
zil-app                 | 	Pool: DataSourceConnectionProvider
zil-app                 | 	Minimum pool size: undefined/unknown
zil-app                 | 	Maximum pool size: undefined/unknown
zil-app                 | 2026-05-04T14:05:39.521Z  INFO 1 --- [           main] org.hibernate.orm.core                   : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
zil-app                 | 2026-05-04T14:05:39.734Z  INFO 1 --- [           main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
zil-app                 | 2026-05-04T14:05:40.223Z  INFO 1 --- [           main] o.s.d.j.r.query.QueryEnhancerFactories   : Hibernate is in classpath; If applicable, HQL parser will be used.
zil-app                 | 2026-05-04T14:05:48.036Z  INFO 1 --- [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat started on port 8083 (http) with context path '/'
zil-app                 | 2026-05-04T14:05:48.117Z  INFO 1 --- [           main] rental.Application                       : Started Application in 38.979 seconds (process running for 42.337)
zil-app                 | 2026-05-04T14:07:00.539Z  INFO 1 --- [nio-8083-exec-8] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
zil-app                 | 2026-05-04T14:07:00.615Z  INFO 1 --- [nio-8083-exec-8] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
zil-app                 | 2026-05-04T14:07:00.617Z  INFO 1 --- [nio-8083-exec-8] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
